epoch,grad_norm,learning_rate,loss,step,eval_acc_depressed,eval_acc_healthy,eval_accuracy,eval_balanced_accuracy,eval_f1,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
13.0,,,,1105,0.7107438016528925,0.7957317073170732,0.7510853835021708,0.7532377544849829,0.75,0.29816627502441406,169.2988,4.082,0.26,,,,,
14.0,1.1708616018295288,1.734285087892573e-05,1.2879101023954505,1190,,,,,,,,,,,,,,
14.0,,,,1190,0.8154269972451791,0.698170731707317,0.7597684515195369,0.756798864476248,0.7810026385224275,0.2984424829483032,167.6219,4.122,0.262,,,,,
15.0,2.7024998664855957,1.6614040931959347e-05,1.2264840518727023,1275,,,,,,,,,,,,,,
15.0,,,,1275,0.7575757575757576,0.7164634146341463,0.7380607814761215,0.737019586104952,0.7523939808481532,0.30033913254737854,167.6202,4.122,0.262,,,,,
16.0,4.126592636108398,1.5839056188795806e-05,1.222698615579044,1360,,,,,,,,,,,,,,
16.0,,,,1360,0.7520661157024794,0.7530487804878049,0.7525325615050651,0.7525574480951421,0.7615062761506276,0.300748735666275,171.5775,4.027,0.256,,,,,
17.0,1.5610787868499756,1.5023794751279153e-05,1.176310640222886,1445,,,,,,,,,,,,,,
17.0,,,,1445,0.7300275482093664,0.7621951219512195,0.7452966714905933,0.746111335080293,0.7507082152974505,0.30134117603302,166.9208,4.14,0.264,,,,,
18.0,5.008072376251221,1.4174461251217212e-05,1.0735084084903492,1530,,,,,,,,,,,,,,
18.0,,,,1530,0.8099173553719008,0.6615853658536586,0.7395079594790159,0.7357513606127797,0.765625,0.31677377223968506,167.9732,4.114,0.262,,,,,
19.0,0.9297195672988892,1.3297519629387043e-05,1.1174055211684284,1615,,,,,,,,,,,,,,
19.0,,,,1615,0.7988980716253443,0.7225609756097561,0.7626628075253257,0.7607295236175502,0.7795698924731183,0.2917526960372925,167.7017,4.12,0.262,,,,,
20.0,1.7895021438598633,1.23996439410426e-05,1.0624959609087776,1700,,,,,,,,,,,,,,
20.0,,,,1700,0.837465564738292,0.6585365853658537,0.7525325615050651,0.7480010750520729,0.7804878048780488,0.3176512122154236,167.4818,4.126,0.263,,,,,
21.0,4.769763469696045,1.1487667562324348e-05,1.0307995066923255,1785,,,,,,,,,,,,,,
21.0,,,,1785,0.7933884297520661,0.7164634146341463,0.7568740955137482,0.7549259221931062,0.7741935483870968,0.2903602719306946,167.8333,4.117,0.262,,,,,
22.0,5.515418529510498,1.0568531184140731e-05,1.0780555276309742,1870,,,,,,,,,,,,,,
22.0,,,,1870,0.6198347107438017,0.8597560975609756,0.7337192474674384,0.7397954041523886,0.7097791798107256,0.4088262915611267,165.6036,4.173,0.266,,,,,
23.0,1.0002758502960205,9.649229989319437e-06,1.0088923734777113,1955,,,,,,,,,,,,,,
23.0,,,,1955,0.7024793388429752,0.7865853658536586,0.7424023154848046,0.7445323523483169,0.7412790697674418,0.34293025732040405,174.0671,3.97,0.253,,,,,
24.0,2.256223678588867,8.7367604150423e-06,1.045784086339614,2040,,,,,,,,,,,,,,
